Jewish Year,Month,Day,Audio File,,Document File,Audio Link,Doc Link,Match Type,Date 
5739,Nissan,11,2330--5739-Nissan 11 Sicha 1.mp3,,,https://drive.google.com/file/d/1NW-Mr6ioS8w9zcGc6HtgVS9fhDHQa4wo/view,,AUDIO_ONLY,
5739,Nissan,11,2332--5739-Nissan 11c Sicha 3.mp3,,,https://drive.google.com/file/d/1QiEk5V_td7Dr4guiQUB8J-No7hyvprjQ/view,,AUDIO_ONLY,
5739,Nissan,11,2331--5739-Nissan 11b Sicha 2.mp3,,,https://drive.google.com/file/d/1TZAnFL41XNfqxf5x2fyvmSMjAyNgUJOO/view,,AUDIO_ONLY,
5739,Nissan,12,2342--5739-Nissan 12d Sicha 4.mp3,,,https://drive.google.com/file/d/1IM48rhdoLEdYzIENj99IPwFZTh8nLxjt/view,,AUDIO_ONLY,
5739,Nissan,12,2344--5739-Nissan 12f Sicha 5.mp3,,,https://drive.google.com/file/d/1OiuGaUPNeVDawWE5fD7FL65b2SJAf6Xi/view,,AUDIO_ONLY,
5739,Nissan,12,2340--5739-Nissan 12b Sicha 2.mp3,,,https://drive.google.com/file/d/1WyS98A4j4qHbq2O-PDTX32UP94S15f8Z/view,,AUDIO_ONLY,
5739,Nissan,12,2343--5739-Nissan 12e Mamar.mp3,,,https://drive.google.com/file/d/1Ze8KbUZyj-3WP9mqUrTNwCCtS6chIi-v/view,,AUDIO_ONLY,
5739,Nissan,12,2341--5739-Nissan 12c Sicha 3.mp3,,,https://drive.google.com/file/d/1m5aKyjDVCxb5r_Nnx8ActTeiilkqo_ze/view,,AUDIO_ONLY,
5739,Nissan,12,2339--5739-Nissan 12 Sicha 1.mp3,,,https://drive.google.com/file/d/1fMgjjltEI-6vY-DAQz0Bw5VAgwjGk7Hs/view,,AUDIO_ONLY,
5739,Nissan,25,2349--5739-Nissan 25e Sicha 4.mp3,,,https://drive.google.com/file/d/15ZCuOsYNdTl3HtFhGygVyltrM70x16ww/view,,AUDIO_ONLY,
5739,Nissan,25,2348--5739-Nissan 25d Sicha 3.mp3,,,https://drive.google.com/file/d/1blpcdT1DDkO_K6S4-T1NZ9byun8-IQYP/view,,AUDIO_ONLY,
5739,Nissan,25,2346--5739-Nissan 25b Sicha 2.mp3,,,https://drive.google.com/file/d/1dueMKO-rj1kOSrtoe3z5pKBzQJ1HluMB/view,,AUDIO_ONLY,
5739,Nissan,25,2347--5739-Nissan 25c Mamar.mp3,,,https://drive.google.com/file/d/1fKPtSRDVDRl3z-ERjfXkLyAhVG-lccpk/view,,AUDIO_ONLY,
5739,Nissan,25,2350--5739-Nissan 25f Sicha 5.mp3,,,https://drive.google.com/file/d/1nw4uQ1sBD0fd9j4H3y-_lzW4FdMZQMa0/view,,AUDIO_ONLY,
5739,Nissan,25,2345--5739-Nissan 25 Sicha 1.mp3,,,https://drive.google.com/file/d/1LrgotU7Irfs9OcMzqFn_wSwU1vS9o8da/view,,AUDIO_ONLY,
5739,Iyar,1,2356--5739-Iyar 01f Sicha 5.mp3,,,https://drive.google.com/file/d/17GWHoe4fgfFqgN76opiv-93NzWwj8Svl/view,,AUDIO_ONLY,
